t1,t2,value
0.2493327503,1.9946620023,0.241
0.2493327503,2.0445285523,0.247
0.2493327503,2.0943951024,0.158
0.2493327503,2.1442616525,0.139
0.2493327503,2.1941282025,0.155
0.2493327503,2.2439947526,0.125
0.2493327503,2.2938613026,0.121
0.2493327503,2.3437278527,0.139
0.2493327503,2.3935944027,0.138
0.2493327503,2.4434609528,0.161
0.2493327503,2.4933275028,0.19
0.2493327503,2.5431940529,0.242
0.2493327503,2.593060603,0.198
0.2493327503,2.642927153,0.345
0.2493327503,2.6927937031,0.268
0.2493327503,2.7426602531,0.269
0.2493327503,2.7925268032,0.352
0.2493327503,2.8423933532,0.201
0.2493327503,2.8922599033,0.438
0.2493327503,2.9421264534,0.226
0.2493327503,2.9919930034,0.525
0.2493327503,3.0418595535,0.466
0.2493327503,3.0917261035,0.424
0.2493327503,3.1415926536,0.463
0.2493327503,3.1914592036,0.48
0.2493327503,3.2413257537,0.352
0.2493327503,3.2911923038,0.523
0.2493327503,3.3410588538,0.383
0.2493327503,3.3909254039,0.317
0.2493327503,3.4407919539,0.332
0.2493327503,3.490658504,0.355
0.2493327503,3.540525054,0.387
0.2493327503,3.5903916041,0.409
0.2493327503,3.6402581542,0.335
0.2493327503,3.6901247042,0.221
0.2493327503,3.7399912543,0.531
0.2493327503,3.7898578043,0.338
0.2493327503,3.8397243544,0.332
0.2493327503,3.8895909044,0.32
0.2493327503,3.9394574545,0.363
0.2493327503,3.9893240046,0.313
0.2493327503,4.0391905546,0.191
0.2493327503,4.0890571047,0.393
0.2493327503,4.1389236547,0.302
0.2493327503,4.1887902048,0.118
0.2493327503,4.2386567548,0.24
0.2493327503,4.2885233049,0.344
0.2493327503,4.338389855,0.215
0.2493327503,4.388256405,0.273
0.2493327503,4.4381229551,0.111
0.2493327503,4.4879895051,0.193
0.2493327503,4.5378560552,0.241
0.2493327503,4.5877226052,0.197
0.2493327503,4.6375891553,0.132
0.2493327503,4.6874557054,0.118
0.2493327503,4.7373222554,0.101
0.2493327503,4.7871888055,0.082
0.2493327503,4.8370553555,0.077
0.2493327503,4.8869219056,0.062
0.2493327503,4.9367884556,0.184
0.2493327503,4.9866550057,0.213
0.2493327503,5.0365215558,0.191
0.2493327503,5.0863881058,0.213
0.2493327503,5.1362546559,0.198
0.2493327503,5.1861212059,0.212
0.2493327503,5.235987756,0.198
0.2493327503,5.285854306,0.198
0.2493327503,5.3357208561,0.21
0.2493327503,5.3855874062,0.199
0.2493327503,5.4354539562,0.207
0.2493327503,5.4853205063,0.191
0.2493327503,5.5351870563,0.179
0.2493327503,5.5850536064,0.195
0.2493327503,5.6349201564,0.194
0.2493327503,5.6847867065,0.19
0.2493327503,5.7346532566,0.189
0.2493327503,5.7845198066,0.19
0.2493327503,5.8343863567,0.188
0.2493327503,5.8842529067,0.184
0.2493327503,5.9341194568,0.179
0.2493327503,5.9839860068,0.175
0.2493327503,6.0338525569,0.172
0.2493327503,6.083719107,0.165
0.2493327503,6.133585657,0.153
0.2493327503,6.1834522071,0.153
0.2493327503,6.2333187571,0.091
0.2991993003,0.0,0.127
0.2991993003,0.0498665501,0.139
0.2991993003,0.0997331001,0.13
0.2991993003,0.1495996502,0.051
0.2991993003,0.1994662002,0.098
0.2991993003,0.2493327503,0.086
0.2991993003,0.2991993003,0.047
0.2991993003,0.3490658504,0.037
0.2991993003,0.3989324005,0.052
0.2991993003,0.4487989505,0.051
0.2991993003,0.4986655006,0.043
0.2991993003,0.5485320506,0.069
0.2991993003,0.5983986007,0.102
0.2991993003,0.6482651507,0.116
0.2991993003,0.6981317008,0.095
0.2991993003,0.7479982509,0.116
0.2991993003,0.7978648009,0.137
0.2991993003,0.847731351,0.134
0.2991993003,0.897597901,0.141
0.2991993003,0.9474644511,0.161
0.2991993003,0.9973310011,0.12
0.2991993003,1.0471975512,0.17
0.2991993003,1.0970641013,0.162
0.2991993003,1.1469306513,0.154
0.2991993003,1.1967972014,0.184
0.2991993003,1.2466637514,0.137
0.2991993003,1.2965303015,0.169
0.2991993003,1.3463968515,0.157
0.2991993003,1.3962634016,0.172
0.2991993003,1.4461299517,0.179
0.2991993003,1.4959965017,0.08
0.2991993003,1.5458630518,0.24
0.2991993003,1.5957296018,0.244
0.2991993003,1.6455961519,0.096
0.2991993003,1.6954627019,0.263
0.2991993003,1.745329252,0.255
0.2991993003,1.7951958021,0.285
0.2991993003,1.8450623521,0.219
0.2991993003,1.8949289022,0.295
0.2991993003,1.9447954522,0.186
0.2991993003,1.9946620023,0.231
0.2991993003,2.0445285523,0.144
0.2991993003,2.0943951024,0.163
0.2991993003,2.1442616525,0.116
0.2991993003,2.1941282025,0.155
0.2991993003,2.2439947526,0.133
