t1,t2,value
1.6755160819,1.710422667,0.911
1.6755160819,1.745329252,1.153
1.6755160819,1.780235837,1.165
1.6755160819,1.8151424221,1.248
1.6755160819,1.8500490071,1.117
1.6755160819,1.8849555922,0.923
1.6755160819,1.9198621772,1.075
1.6755160819,1.9547687622,0.949
1.6755160819,1.9896753473,1.146
1.6755160819,2.0245819323,0.784
1.6755160819,2.0594885174,0.733
1.6755160819,2.0943951024,0.721
1.6755160819,2.1293016874,0.941
1.6755160819,2.1642082725,1.443
1.6755160819,2.1991148575,1.058
1.6755160819,2.2340214426,1.011
1.6755160819,2.2689280276,1.032
1.6755160819,2.3038346126,0.873
1.6755160819,2.3387411977,1.221
1.6755160819,2.3736477827,1.123
1.6755160819,2.4085543678,1.293
1.6755160819,2.4434609528,1.159
1.6755160819,2.4783675378,1.238
1.6755160819,2.5132741229,1.347
1.6755160819,2.5481807079,1.416
1.6755160819,2.583087293,1.439
1.6755160819,2.617993878,1.474
1.6755160819,2.652900463,1.398
1.6755160819,2.6878070481,1.372
1.6755160819,2.7227136331,1.291
1.6755160819,2.7576202182,1.353
1.6755160819,2.7925268032,1.163
1.6755160819,2.8274333882,1.346
1.6755160819,2.8623399733,0.861
1.6755160819,2.8972465583,1.296
1.6755160819,2.9321531434,1.382
1.6755160819,2.9670597284,1.283
1.6755160819,3.0019663134,1.167
1.6755160819,3.0368728985,1.178
1.6755160819,3.0717794835,1.092
1.6755160819,3.1066860685,1.309
1.6755160819,3.1415926536,1.224
1.6755160819,3.1764992386,1.327
1.6755160819,3.2114058237,1.511
1.6755160819,3.2463124087,1.58
1.6755160819,3.2812189937,1.317
1.6755160819,3.3161255788,1.401
1.6755160819,3.3510321638,0.971
1.6755160819,3.3859387489,1.514
1.6755160819,3.4208453339,1.365
1.6755160819,3.4557519189,1.433
1.6755160819,3.490658504,1.335
1.6755160819,3.525565089,1.388
1.6755160819,3.5604716741,0.57
1.6755160819,3.5953782591,1.347
1.6755160819,3.6302848441,1.454
1.6755160819,3.6651914292,1.358
1.6755160819,3.7000980142,1.115
1.6755160819,3.7350045993,1.363
1.6755160819,3.7699111843,1.294
1.6755160819,3.8048177693,1.226
1.6755160819,3.8397243544,1.383
1.6755160819,3.8746309394,1.494
1.6755160819,3.9095375245,1.479
1.6755160819,3.9444441095,1.183
1.6755160819,3.9793506945,1.133
1.6755160819,4.0142572796,1.227
1.6755160819,4.0491638646,1.374
1.6755160819,4.0840704497,1.185
1.6755160819,4.1189770347,1.188
1.6755160819,4.1538836197,1.637
1.6755160819,4.1887902048,1.315
1.6755160819,4.2236967898,1.202
1.6755160819,4.2586033749,1.464
1.6755160819,4.2935099599,1.501
1.6755160819,4.3284165449,1.196
1.6755160819,4.36332313,1.331
1.6755160819,4.398229715,1.271
1.6755160819,4.4331363001,1.021
1.6755160819,4.4680428851,1.336
